A124	A4F	Antonov AN-124 Ruslan
BN2P	BNI	Pilatus Britten-Norman BN-2A/B Islander
C130	LOH	Lockheed L-182 / 282 / 382 (L-100) Hercules
C152	N/A	Cessna 152
C162	CN1	Cessna 162
C172	CN1	Cessna 172
C182	CN1	Cessna 182 Skylane
C206	CN1	Cessna 206 Stationair
C208	CN1	Cessna 208 Caravan
C210	CN1	Cessna 210 Centurion
C212	CS2	CASA / IPTN 212 Aviocar
C25A	CNJ	Cessna Citation CJ2
C25B	CNJ	Cessna Citation CJ3
C25C	CNJ	Cessna Citation CJ4
C30J	LOH	Lockheed Martin C-130J Hercules
C310	N/A	Cessna 310
C46	CWC	Curtiss C-46 Commando
C500	CNJ	Cessna Citation I
C510	CNJ	Cessna Citation Mustang
C525	CNJ	Cessna CitationJet
C550	CNJ	Cessna Citation II
C560	CNJ	Cessna Citation V
C56X	CNJ	Cessna Citation Excel
C650	CNJ	Cessna Citation III, VI, VII
C680	CNJ	Cessna Citation Sovereign
C72R	CN1	Cessna 172 Cutlass RG
C750	CNJ	Cessna Citation X
C77R	CN1	Cessna 177 Cardinal RG
C919	N/A	COMAC C919
CH7A	N/A	7AC Champ, 7ECA Citabria
CH7B	N/A	7GCAA, 7GCBC, 7KCAB Citabria
CL2T	N/A	Bombardier 415
CL30	N/A	Bombardier BD-100 Challenger 300
CL60	CCJ	Canadair Challenger
CN35	CS5	CASA/IPTN CN-235
CONC	SSC	Concorde (deprecated: no longer flying)
CONI	L49	Lockheed L-1049 Super Constellation
CRJ1	CR1	Canadair Regional Jet 100
CRJ2	CR2	Canadair Regional Jet 200
CRJ7	CR7	Canadair Regional Jet 700 | Regional Jet 550
CRJ9	CR9	Canadair Regional Jet 900
CRJX	CRK	Canadair Regional Jet 1000
CVLP	CV4	Convair CV-240 & -440
CVLT	CV5	Convair CV-580, Convair CV-600, Convair CV-640
D228	D28	Fairchild Dornier Do.228
D328	D38	Fairchild Dornier Do.328
DA42	N/A	Diamond DA42
DA62	N/A	Diamond DA62
DC10	D11	Douglas DC-10-10 / -15 Passenger
DC10	D1C	Douglas DC-10-30 / -40 Passenger
DC10	D1M	Douglas DC-10-30 Combi
DC10	D1X	Douglas DC-10-10 Freighter
DC10	D1Y	Douglas DC-10-30 / -40 Freighter
DC3	D3F	Douglas DC-3
DC6	D6F	Douglas DC-6
DC85	D8T	Douglas DC-8-50
DC86	D8L	Douglas DC-8-62
DC87	D8Q	Douglas DC-8-72
DC91	D91	Douglas DC-9-10
DC92	D92	Douglas DC-9-20
DC93	D93	Douglas DC-9-30
DC94	D94	Douglas DC-9-40
DC95	D95	Douglas DC-9-50
DH2T	DHR	De Havilland Canada DHC-2 Turbo-Beaver
DH62		De Havilland Comet 2 (deprecated code)
DH64		De Havilland Comet 4 (deprecated code)
DH8A	DH1	De Havilland Canada DHC-8-100 Dash 8 / 8Q
DH8B	DH2	De Havilland Canada DHC-8-200 Dash 8 / 8Q
DH8C	DH3	De Havilland Canada DHC-8-300 Dash 8 / 8Q
DH8D	DH4	De Havilland Canada DHC-8-400 Dash 8Q
DHC2	DHP	De Havilland Canada DHC-2 Beaver
DHC3	DHL	De Havilland Canada DHC-3 Otter
DHC4	DHC	De Havilland Canada DHC-4 Caribou
DHC5	DHC	De Havilland Canada DHC-5 Buffalo
DHC6	DHT	De Havilland Canada DHC-6 Twin Otter
DHC7	DH7	De Havilland Canada DHC-7 Dash 7
DOVE	DHD	De Havilland DH.104 Dove
E110	EMB	Embraer EMB 110 Bandeirante
E120	EM2	Embraer EMB 120 Brasilia
E135	ER3	Embraer RJ135
E135	ERD	Embraer RJ140
E145	ER4	Embraer RJ145
E170	E70	Embraer 170
E190	E90	Embraer 190 / Lineage 1000
E195	E95	Embraer 195
E290	290	Embraer E190-E2
E295	295	Embraer E195-E2
E35L	ER3	Embraer Legacy 600 / Legacy 650
E50P	EP1	Embraer Phenom 100
E545	N/A	Embraer Legacy 450 / Praetor 500
E550	N/A	Embraer Legacy 500 / Praetor 600
E55P	EP3	Embraer Phenom 300
E75L	E7W	Embraer 175 (long wing)
E75S	E75	Embraer 175 (short wing)
EA30		Airbus A300 (deprecated 1997: code replaced)
EA31		Airbus A310 (deprecated 1997: code replaced)
EA32		Airbus A320 (deprecated 1997: code replaced)
EA33		Airbus A330 (deprecated 1997: code replaced)
EA34		Airbus A340 (deprecated 1997: code replaced)
EC20	N/A	Eurocopter EC120 Colibri / Harbin HC120
EC25	N/A	Eurocopter EC225 Super Puma
EC35	N/A	Eurocopter EC135 / EC635
EC45	N/A	Eurocopter EC145
ECHO	N/A	Tecnam P92 Echo / P92 Eaglet / P92 SeaSky
EV97	N/A	EV-97 EuroStar / EV-97 Harmony
EVSS	N/A	Evektor SportStar
EXPL	MD9	MD Helicopters MD900 Explorer
F100	100	Fokker 100
F27	F27	Fokker F27 Friendship
F28	F21	Fokker F28 Fellowship
F2TH	D20	Dassault Falcon 2000
F406	CNT	Reims-Cessna F406 Caravan II
F50	F50	Fokker 50
F70	F70	Fokker 70
F900	DF9	Dassault Falcon 900
FA50	DF3	Dassault Falcon 50
FA7X	DF7	Dassault Falcon 7X
G159	GRS	Gulfstream Aerospace G-159 Gulfstream I
G21	GRG	Grumman G-21 Goose
G280	GR3	Gulfstream G280
G73T	GRM	Grumman G-73 Turbo Mallard
GA8	N/A	GippsAero GA8 Airvan
GL5T	CCX	Bombardier BD-700 Global 5000
GLEX	CCX	Bombardier Global Express / Raytheon Sentinel
GLF4	GJ4	Gulfstream IV
GLF5	GJ5	Gulfstream V
GLF6	GJ6	Gulfstream G650
GOLF	N/A	Tecnam P96
H25B	H25	British Aerospace 125 series / Hawker/Raytheon 700/800/800XP/850/900
H25C	H25	British Aerospace 125-1000 series / Hawker/Raytheon 1000
HDJT	N/A	Honda HA-420
HERN	DHH	De Havilland DH.114 Heron
I114	I14	Ilyushin IL114
IL18	IL8	Ilyushin IL18
IL62	IL6	Ilyushin IL62
IL76	IL7	Ilyushin IL76
IL86	ILW	Ilyushin IL86
IL96	I93	Ilyushin IL96
J328	FRJ	Fairchild Dornier 328JET
JS31	J31	British Aerospace Jetstream 31
JS32	J32	British Aerospace Jetstream 32
JS41	J41	British Aerospace Jetstream 41
JU52	JU5	Junkers Ju 52/3M
L101	L10	Lockheed L-1011 Tristar
L188	LOE	Lockheed L-188 Electra
L410	L4T	LET 410
LJ35	LRJ	Learjet 35 / 36 / C-21A
LJ60	LRJ	Learjet 60
MD11	M11	McDonnell Douglas MD-11
MD11	M1F	McDonnell Douglas MD-11F
MD11	M1M	McDonnell Douglas MD-11C
MD81	M81	McDonnell Douglas MD-81
MD82	M82	McDonnell Douglas MD-82
MD83	M83	McDonnell Douglas MD-83
MD87	M87	McDonnell Douglas MD-87
MD88	M88	McDonnell Douglas MD-88
MD90	M90	McDonnell Douglas MD-90
MI24	N/A	Mil Mi-24 / Mi-25 / Mi-35
MI8	MIH	MIL Mi-8 / Mi-17 / Mi-171 / Mil-172
MU2	MU2	Mitsubishi Mu-2
N262	ND2	Aerospatiale (Nord) 262
NOMA	CD2	Government Aircraft Factories N22B / N24A Nomad
P06T	N/A	Tecnam P2006T
P180	N/A	Piaggio P.180 Avanti
P208	N/A	Tecnam P2008
P212	T12	Tecnam P2012 Traveller
P28A	N/A	Piper PA-28 (up to 180 hp)
P28B	N/A	Piper PA-28 (above 200 hp)
P68	PN6	Partenavia P.68
PA31	PA2	Piper PA-31 Navajo
PA44	N/A	Piper PA-44 Seminole
PA46	PAG	Piper PA-46
PC12	PL2	Pilatus PC-12
PC6T	PL6	Pilatus PC-6 Turbo Porter
PISI	N/A	Pipistrel Sinus[4]
PITA	N/A	Pipistrel Taurus[4]
PIVI	N/A	Pipistrel Virus[4]
R200	N/A	Robin HR200/R2000 series, Alpha160A
RJ1H	AR1	Avro RJ100
RJ70	AR7	Avro RJ70
RJ85	AR8	Avro RJ85
S210	CRV	Aerospatiale (Sud Aviation) Se.210 Caravelle
S58T	S58	Sikorsky S-58T
S601	NDC	Aerospatiale SN.601 Corvette
S61	S61	Sikorsky S-61
S65C	NDH	Eurocopter (Aerospatiale) SA365C / SA365N Dauphin 2
S76	S76	Sikorsky S-76
S92	S92	Sikorsky S-92
SB20	S20	Saab 2000
SC7	SHS	Shorts SC-7 Skyvan
SF34	SF3	Saab SF340A/B
SF50	N/A	Cirrus SF50 Vision Jet
SH33	SH3	Shorts SD.330
SH36	SH6	Shorts SD.360
SIRA	N/A	Tecnam P2002 Sierra
SU95	SU9	Sukhoi Superjet 100-95
T134	TU3	Tupolev Tu-134
T144	N/A	Tupolev Tu-144
T154	TU5	Tupolev Tu-154
T204	T20	Tupolev Tu-204 / Tu-214
TB20	N/A	Socata TB-20 Trinidad
TL20	N/A	TL Ultralight TL-96 Star / TL-2000 Sting
TRF1	N/A	Team Rocket F1
TRIS	BNT	Pilatus Britten-Norman BN-2A Mk III Trislander
TWEN	N/A	Tecnam P2010
WW24	WWP	Israel Aircraft Industries 1124 Westwind
Y12	YN2	Harbin Yunshuji Y12
YK40	YK4	Yakovlev Yak-40
YK42	YK2	Yakovlev Yak-42
YS11	YS1	NAMC YS-11
